isBeaOn,isCarolOn,isMichaelOn,isNoon,giselleKnowsHowToPlay,michaelKnowsHowToPlay,carolKnowsHowToPlay,beaKnowsHowToPlay,champion1,champion2,champion3,champion4,champion5,weWon,isGadoOn,weHaveTank,weHaveAdc,weHaveApc,weHaveBruiser,weHaveSup,gameDateMilliseconds,matchId
False,False,True,False,1.0,0.0,2.0,2.0,Lulu,Lissandra,Neeko,Xayah,Fizz,False,False,False,True,True,False,True,1710603062499.0,BR1_2908568583
True,False,True,False,1.0,0.0,2.0,1.0,Sivir,Janna,Nidalee,Nami,Swain,True,False,False,True,False,True,True,1710559694784.0,BR1_2908427391
True,False,True,False,0.0,1.0,2.0,1.0,Sona,Varus,Leona,Nami,Mordekaiser,True,False,True,True,False,True,True,1710558439999.0,BR1_2908410902
True,False,True,False,0.0,1.0,2.0,0.0,Morgana,Brand,Ekko,Anivia,Smolder,False,False,False,True,True,False,False,1711074717604.0,BR1_2911210892
True,False,True,False,0.0,0.0,2.0,0.0,Sejuani,Pantheon,MissFortune,Zilean,Leblanc,True,False,True,True,True,True,False,1711073215556.0,BR1_2911202403
True,False,True,False,0.0,0.0,2.0,1.0,Varus,Lulu,Amumu,MissFortune,Morgana,True,False,True,True,True,False,True,1711071977898.0,BR1_2911185811
True,False,True,True,0.0,1.0,2.0,1.0,Malzahar,Yuumi,Ashe,Darius,Akali,False,False,False,True,True,True,True,1711054918385.0,BR1_2911018391
True,False,True,False,0.0,0.0,2.0,0.0,Rammus,Lissandra,Orianna,Aatrox,Shaco,True,False,True,False,True,False,False,1711053574032.0,BR1_2911008235
False,False,True,False,1.0,0.0,2.0,2.0,Jhin,Varus,Galio,Xayah,Jax,True,False,True,True,False,False,False,1711033647383.0,BR1_2910880261
True,False,True,False,0.0,0.0,2.0,0.0,Yuumi,Kayle,Shen,Ziggs,Kassadin,True,False,True,False,True,False,True,1710989988089.0,BR1_2910727974
True,False,True,False,0.0,0.0,2.0,1.0,Teemo,Shaco,Akali,Seraphine,Quinn,False,False,False,True,False,False,False,1710988192347.0,BR1_2910714364
True,False,True,False,1.0,1.0,2.0,1.0,Volibear,Nidalee,Darius,Ashe,Vayne,False,False,False,True,False,True,False,1710986374526.0,BR1_2910703126
True,False,True,False,0.0,1.0,2.0,0.0,Soraka,Vex,Darius,Pyke,Fiora,True,False,False,False,False,True,True,1710984777753.0,BR1_2910679904
True,False,True,True,1.0,0.0,2.0,0.0,Ahri,Ahri,Ahri,Ahri,Ahri,False,False,False,False,True,False,False,1710969642395.0,BR1_2910527740
True,False,False,False,0.0,2.0,2.0,1.0,Neeko,Soraka,Karma,Thresh,MissFortune,False,True,True,True,False,False,True,1710967548748.0,BR1_2910521229
True,False,True,False,0.0,1.0,2.0,0.0,Renekton,Akali,Heimerdinger,Ekko,Aphelios,False,False,False,True,True,True,False,1710946221923.0,BR1_2910408335
True,False,True,False,0.0,1.0,2.0,0.0,Renekton,Akali,Heimerdinger,Ekko,Aphelios,False,False,False,True,True,True,False,1710946221923.0,BR1_2910408335
True,False,True,False,0.0,1.0,2.0,0.0,MissFortune,Warwick,Draven,Xerath,Yasuo,True,False,False,True,True,True,False,1710945078846.0,BR1_2910413021
True,False,True,False,0.0,1.0,2.0,0.0,TwistedFate,Caitlyn,MonkeyKing,Syndra,Zed,False,False,False,True,True,True,False,1710905924676.0,BR1_2910306973
True,True,True,False,0.0,0.0,1.0,1.0,Thresh,Sona,Lux,Rengar,Malphite,False,False,True,False,True,True,True,1710904276309.0,BR1_2910298907
True,False,True,False,0.0,1.0,2.0,0.0,Zilean,Mordekaiser,Yuumi,Vayne,Quinn,True,False,False,True,True,True,True,1710903266933.0,BR1_2910286960
True,False,True,False,0.0,0.0,2.0,0.0,Tristana,Zyra,Brand,Rammus,Chogath,True,False,True,True,True,False,False,1710900817687.0,BR1_2910262846
True,False,False,False,0.0,2.0,2.0,0.0,Aphelios,Ekko,Akali,Brand,Graves,False,False,False,True,True,True,False,1710881557617.0,BR1_2910093749
False,False,True,False,0.0,1.0,2.0,2.0,Jhin,Gwen,Kayle,Naafiri,Vayne,True,False,False,True,False,False,False,1710860807104.0,BR1_2909985242
False,False,True,False,0.0,1.0,2.0,2.0,Samira,Lucian,Brand,Fiora,Malphite,False,False,True,True,True,False,False,1711287239716.0,BR1_2912552038
True,True,True,False,0.0,0.0,0.0,0.0,Veigar,Bard,Aphelios,Nilah,Morgana,True,True,False,True,True,False,True,1711252176531.0,BR1_2912415743
True,True,True,False,0.0,0.0,0.0,1.0,Veigar,Jhin,Aphelios,Yuumi,Shen,True,True,True,True,True,False,True,1711250696477.0,BR1_2912412018
True,True,True,False,0.0,1.0,0.0,0.0,Warwick,Thresh,Vex,Teemo,Ezreal,False,False,True,True,False,True,True,1711249550428.0,BR1_2912388594
True,True,True,False,0.0,0.0,1.0,0.0,Senna,Yuumi,MissFortune,Lux,LeeSin,True,False,False,True,True,False,True,1711247881072.0,BR1_2912372920
True,True,True,False,1.0,0.0,0.0,0.0,Ashe,Caitlyn,Talon,Xayah,Shen,True,False,True,True,False,False,False,1711246674065.0,BR1_2912363122
True,False,True,False,1.0,0.0,2.0,1.0,Katarina,TahmKench,Morgana,Xayah,Tristana,False,False,True,True,True,False,False,1711216490371.0,BR1_2912032170
True,False,True,False,0.0,0.0,2.0,0.0,Zed,Lucian,Thresh,Janna,Volibear,True,False,True,True,False,True,True,1711215327180.0,BR1_2912014858
True,False,True,False,1.0,0.0,2.0,1.0,Nidalee,Jhin,Irelia,Karma,Ashe,True,False,False,True,False,True,True,1711213801208.0,BR1_2912003627
False,True,True,False,1.0,0.0,0.0,2.0,Caitlyn,Garen,Ziggs,Xayah,Pyke,False,True,False,True,True,False,False,1711164602090.0,BR1_2911763599
False,True,True,False,0.0,1.0,0.0,2.0,Braum,Kayle,Olaf,Thresh,Ekko,True,True,True,False,True,True,True,1711162861933.0,BR1_2911749251
False,True,True,False,0.0,1.0,0.0,2.0,Ziggs,Mordekaiser,Ryze,Caitlyn,Twitch,False,True,False,True,True,True,False,1711160384584.0,BR1_2911708893
False,False,True,False,0.0,0.0,2.0,2.0,MissFortune,Chogath,Brand,Blitzcrank,Ziggs,True,False,True,True,True,False,True,1711158309636.0,BR1_2911695472
True,False,True,True,0.0,1.0,2.0,1.0,Akali,Senna,Ekko,Karma,Jinx,False,False,False,True,True,False,True,1711141783754.0,BR1_2911525354
True,False,True,False,0.0,1.0,2.0,0.0,Velkoz,Rell,Vayne,Vi,Katarina,False,False,True,True,False,True,False,1711139997878.0,BR1_2911516295
False,False,True,False,1.0,0.0,2.0,2.0,Velkoz,Nidalee,Irelia,Ashe,MissFortune,True,False,False,True,False,True,False,1711118875175.0,BR1_2911375036
False,False,True,False,0.0,0.0,2.0,2.0,Ziggs,Karthus,Yuumi,Veigar,Amumu,False,False,True,False,True,False,True,1711117514495.0,BR1_2911362822
True,False,True,False,0.0,1.0,2.0,0.0,Morgana,Brand,Ekko,Anivia,Smolder,False,False,False,True,True,False,False,1711074717604.0,BR1_2911210892
True,False,True,False,0.0,0.0,2.0,0.0,Sejuani,Pantheon,MissFortune,Zilean,Leblanc,True,False,True,True,True,True,False,1711073215556.0,BR1_2911202403
True,False,True,False,0.0,0.0,2.0,1.0,Varus,Lulu,Amumu,MissFortune,Morgana,True,False,True,True,True,False,True,1711071977898.0,BR1_2911185811
False,False,True,False,1.0,0.0,2.0,2.0,Jhin,Katarina,Ziggs,Xayah,MonkeyKing,True,False,False,True,True,True,False,1711548247173.0,BR1_2914165929
False,False,True,False,0.0,0.0,2.0,2.0,Ezreal,Tristana,Kaisa,Velkoz,Morgana,False,False,False,True,True,False,False,1711547095558.0,BR1_2914161344
True,False,True,False,0.0,0.0,2.0,0.0,Taliyah,Sona,Yuumi,Malphite,MonkeyKing,True,False,True,False,False,True,True,1711508423737.0,BR1_2914066648
True,False,True,False,0.0,1.0,2.0,0.0,Yuumi,Veigar,Fiora,Darius,Maokai,True,False,True,False,True,True,True,1711506986022.0,BR1_2914056598
True,False,True,False,0.0,0.0,2.0,1.0,Brand,Soraka,Jhin,Shen,Draven,True,False,True,True,True,False,True,1711505812389.0,BR1_2914042766
True,False,True,False,0.0,1.0,2.0,1.0,Thresh,MissFortune,Nami,Tristana,Mordekaiser,True,False,True,True,False,True,True,1711504532720.0,BR1_2914036023
True,False,True,False,0.0,1.0,2.0,0.0,Veigar,Morgana,Zoe,Lucian,Vayne,False,False,False,True,True,False,False,1711385295757.0,BR1_2913252791
True,False,True,False,0.0,0.0,2.0,1.0,MissFortune,Lulu,Lucian,Morgana,Janna,False,False,False,True,True,False,True,1711383998090.0,BR1_2913240967
False,False,True,False,0.0,0.0,2.0,2.0,Katarina,Taliyah,Sivir,Veigar,Pyke,False,False,False,True,True,False,False,1711330413623.0,BR1_2913022366
True,False,True,False,0.0,0.0,2.0,1.0,Swain,Caitlyn,Lulu,Jinx,Akali,False,False,False,True,False,True,True,1711309416795.0,BR1_2912752253
True,False,True,False,0.0,1.0,2.0,0.0,Velkoz,Akali,Brand,Tristana,Yasuo,True,False,False,True,True,False,False,1711307787675.0,BR1_2912733978
True,False,True,False,0.0,0.0,2.0,1.0,MissFortune,Morgana,Tristana,Leblanc,Caitlyn,True,False,False,True,True,False,False,1711306555934.0,BR1_2912711751
True,False,True,False,0.0,1.0,2.0,1.0,MissFortune,Kayle,Lulu,Varus,Renekton,True,False,False,True,False,True,True,1711304470127.0,BR1_2912695728
True,False,True,False,0.0,1.0,2.0,0.0,Pyke,Annie,Kalista,Renekton,Vayne,True,False,False,True,True,True,False,1711303296138.0,BR1_2912682766
False,False,True,False,0.0,1.0,2.0,2.0,Samira,Lucian,Brand,Fiora,Malphite,False,False,True,True,True,False,False,1711287239716.0,BR1_2912552038
True,True,True,False,0.0,0.0,0.0,0.0,Veigar,Bard,Aphelios,Nilah,Morgana,True,True,False,True,True,False,True,1711252176531.0,BR1_2912415743
True,True,True,False,0.0,0.0,0.0,1.0,Veigar,Jhin,Aphelios,Yuumi,Shen,True,True,True,True,True,False,True,1711250696477.0,BR1_2912412018
True,True,True,False,0.0,1.0,0.0,0.0,Warwick,Thresh,Vex,Teemo,Ezreal,False,False,True,True,False,True,True,1711249550428.0,BR1_2912388594
True,True,True,False,0.0,0.0,1.0,0.0,Senna,Yuumi,MissFortune,Lux,LeeSin,True,False,False,True,True,False,True,1711247881072.0,BR1_2912372920
True,True,True,False,1.0,0.0,0.0,0.0,Ashe,Caitlyn,Talon,Xayah,Shen,True,False,True,True,False,False,False,1711246674065.0,BR1_2912363122
False,False,True,False,0.0,1.0,2.0,2.0,Pantheon,Zed,Lillia,TwistedFate,Orianna,False,False,False,False,True,True,False,1711634833777.0,BR1_2914671409
True,False,True,True,0.0,0.0,2.0,0.0,Fizz,Milio,Kennen,Rengar,Katarina,True,False,False,False,False,True,True,1711580009698.0,BR1_2914368184
True,False,True,True,0.0,0.0,2.0,0.0,Gangplank,Cassiopeia,Quinn,Orianna,Syndra,False,False,False,True,True,False,False,1711578342268.0,BR1_2914348850
False,False,True,False,0.0,1.0,2.0,2.0,Jax,AurelionSol,Gnar,Maokai,Vayne,True,False,True,True,False,True,False,1711559089295.0,BR1_2914207331
False,False,True,False,0.0,1.0,2.0,2.0,Veigar,Ezreal,Vi,Sylas,Malphite,False,False,True,True,True,True,False,1711557382983.0,BR1_2914195418
False,False,True,False,1.0,0.0,2.0,2.0,Jhin,Katarina,Ziggs,Xayah,MonkeyKing,True,False,False,True,True,True,False,1711548247173.0,BR1_2914165929
